Maintainers by package:
0ad                  kalev limb pcpa
qulogic    R-rpm-macros cppzmq fzf ghc-base-orphans ghc-base-prelude ghc-doctest ghc-http-client-restricted ghc-http-client-tls ghc-th-abstraction ghc-vector-builder ghc-wai-app-static ghc-warp-tls golang-github-alecthomas-kong golang-github-alecthomas-repr golang-github-aykevl-wasm golang-github-badoux-checkmail golang-github-blakesmith-ar golang-github-chromedp golang-github-chromedp-cdproto golang-github-creack-goselect golang-github-djherbis-atime golang-github-gobwas-httphead golang-github-gobwas-pool golang-github-gobwas-ws golang-github-golangplus-bytes golang-github-golangplus-fmt golang-github-golangplus-testing golang-github-jinzhu-now golang-github-lucasb-eyer-colorful golang-github-marcinbor85-gohex golang-github-matryer-try golang-github-mattn-shellwords golang-github-nicksnyder-i18n-2 golang-github-niklasfasching-org golang-github-subosito-gotenv golang-github-tdewolff-minify golang-github-tdewolff-parse golang-github-tdewolff-test golang-github-yuin-goldmark golang-x-tools htmltest perl-Spreadsheet-ParseXLSX python-asciitree python-branca python-json-minify python-mplcairo python-mplcursors python-numcodecs python-pep8-naming python-pyclipper python-pytest-mpl python-zarr
radez      python-cheroot python-cherrypy python-coverage_pth python-jaraco-classes python-jaraco-collections python-jaraco-functools python-jaraco-packaging python-jaraco-text python-path python-portend python-pytest-testmon python-rst-linker python-tempora
raphgro    apx glues ocproxy openconnect-gateway python-amqp python-jnius python-mock-ssh-server python-pdfkit python-qutepart shrinkpdf unittest-cpp xfce4-vala
rathann    cdlabelgen flite fontsquirrel-crete-round-fonts gabedit gstreamermm intel-compute-runtime intel-mediasdk jack-audio-connection-kit jpcre2 libgadu libmatroska libmp4v2 libupnp libva-v4l2-request mozilla-ublock-origin overlayfs-tools python-publicsuffix2 python-tempdir sysconftool tinyxml tng ucpp xorg-x11-drv-amdgpu xrestrict
raveit65   atril caja caja-actions compiz engrampa eom gtk-murrine-engine libXpresent libcryptui libmatekbd libmateweather marco mate-applets mate-control-center mate-desktop mate-icon-theme mate-media mate-menu mate-menus mate-panel mate-polkit mate-screensaver mate-utils mozo pluma python-caja
rcallicotte awesome-vim-colorschemes mirmon python-cerberus python-pudb python-pycodestyle python-pytest-ordering python-rencode python-trololio python-urwid-readline python-xlib salt-lint vim-nerdtree
rdopiera   python-XStatic-Angular-UUID python-XStatic-Angular-Vis python-XStatic-Bootstrap-SCSS python-XStatic-FileSaver python-XStatic-JS-Yaml python-XStatic-Json2yaml
rebus      aeskeyfind afflib dcfldd dionaea libdasm msoffcrypto-tool ncrack officeparser python-colorclass python-oletools sslscan tcptrack xorsearch
remi       IP2Location ImageMagick compat-lua fastlz libcgif libmcrypt librabbitmq php-PHPParser php-PsrLog php-bacon-qr-code2 php-brick-varexporter php-composer-ca-bundle php-composer-metadata-minifier php-composer-pcre php-composer-xdebug-handler php-composer-xdebug-handler2 php-doctrine-collections php-doctrine-deprecations php-doctrine-event-manager php-doctrine-inflector php-doctrine-inflector2 php-doctrine-instantiator php-doctrine-lexer php-doctrine-sql-formatter php-egulias-email-validator2 php-fedora-autoloader php-felixfbecker-advanced-json-rpc3 php-fig-http-message-util php-http-interop-http-middleware php-http-message-factory php-iamcal-lib-autolink php-icewind-smb2 php-justinrainbow-json-schema5 php-khanamiryan-qrcode-detector-decoder php-league-container4 php-league-flysystem php-league-mime-type-detection php-league-plates php-league-tactician php-microsoft-tolerant-php-parser php-mock-integration2 php-mock-phpunit2 php-mock2 php-myclabs-deep-copy php-myclabs-php-enum php-nikic-php-parser3 php-oauth php-ocramius-code-generator-utils php-pear-Console-Table php-pear-Crypt-CHAP php-pear-Date php-pear-HTTP-Request php-pear-MDB2 php-pear-MDB2-Driver-mysqli php-pear-MDB2-Driver-pgsql php-pear-Mail-mimeDecode php-pear-Net-Curl php-pear-Net-URL php-pear-XML-Parser php-pear-math-biginteger php-pecl-ds php-pecl-krb5 php-pecl-yaml php-phar-io-manifest php-phar-io-version php-phpdocumentor-reflection-common2 php-phpdocumentor-reflection-docblock5 php-phpdocumentor-type-resolver1 php-phpseclib php-phpspec-prophecy php-phpspec-prophecy-phpunit php-phpunit-git php-phpunit-php-timer3 php-phpunitgoodpractices-polyfill php-psr-container php-psr-container2 php-psr-event-dispatcher php-psr-http-factory php-psr-http-server-handler php-psr-http-server-middleware php-samyoul-u2f-php-server php-seld-cli-prompt php-seld-phar-utils php-swaggest-json-diff php-swaggest-json-schema php-symfony-contracts2 php-symfony-requirements-checker php-webimpress-http-middleware-compatibility php-webimpress-safe-writer php-zstd php-zumba-json-serializer phpcpd
renep      tcl-mysqltcl
rffontenelle ddnet
rharwood   unclutter-xfixes
rhughes    dbus-sharp echo-icon-theme firefox gconf-editor gmime gnome-nettool gnome-sharp gtk-sharp2 gtk2 libFS libXfont libXvMC libXxf86dga libXxf86misc libart_lgpl libbonobo libbonoboui libgdiplus libglade2 libgnome libgnomecanvas libgpod libmash liboil libwnck mingw-colord mingw-libcroco rhythmbox tomboy totem unique unique3 xorg-x11-drv-ati yelp
rineau     octomap
rishi      cluttermm libgdata libgepub libgnome-keyring
rjeffman   python-h2 python-hpack python-hyperframe python-ifaddr
rjones     mingw-atk mingw-bzip2 mingw-cairomm mingw-expat mingw-fontconfig mingw-freeglut mingw-gsl mingw-gtkmm24 mingw-libgcrypt mingw-libglade2 mingw-libglademm24 mingw-libgnurx mingw-libgpg-error mingw-libsigc++20 mingw-libsqlite3x mingw-libxml++ mingw-libxml2 mingw-libxslt mingw-openssl mingw-orc mingw-plotmm mingw-portablexdr mingw-spice-gtk mingw-tcl mingw-wpcap mingw-zfstream mlton ocaml-base64 ocaml-cmdliner ocaml-curl
rmeggins   ansible-collection-microsoft-sql linux-system-roles
rnc        cekit
robert     SDL_sound atril audacious-plugins caja caja-actions dehydrated engrampa eom esound gc gstreamermm gtk-murrine-engine imaptest libftdi libmatekbd libmateweather lpcnetfreedv lua-dbi lua-event lua-expat lua-filesystem lua-posix lua-readline lua-sec lua-socket lua-unbound marco mate-applets mate-control-center mate-desktop mate-icon-theme mate-media mate-menu mate-menus mate-panel mate-polkit mate-screensaver mate-utils mod_log_post mozo msoffcrypto-tool openvpn-auth-ldap perl-Date-Holidays-DE pluma prosody python-natsort python-oletools t1utils thc-ipv6
romaingeissler1a python-chai python-constantly python-cssselect python-deepdiff python-gunicorn python-pytest-trio python-twisted
rombobeorn ahven fedora-gnat-project-common gnat-srpm-macros
rominf     python-accept-types python-executing python-exoscale python-folium python-gnupg python-google-i18n-address python-more-itertools python-odata-query python-pyspf python-pytest-localserver python-requests-exoscale-auth python-sentry-sdk python-sly python-stripe python-tokenize-rt python-twilio python-xml2rfc python-zxcvbn
rommell    python-accept-types python-exoscale python-folium python-gnupg python-google-i18n-address python-odata-query python-pytest-localserver python-requests-exoscale-auth python-sentry-sdk python-sly python-stripe python-twilio python-xml2rfc python-zxcvbn
rrankin    gpsim gtk+extra
rrendec    can-utils
rstrode    aisleriot dbus-sharp echo-icon-theme firefox gconf-editor gmime gnome-nettool gnome-sharp gnome-system-log gtk-sharp2 gtk2 libFS libXfont libXvMC libXxf86dga libXxf86misc libart_lgpl libbonobo libbonoboui libgdiplus libglade2 libgnome libgnomecanvas libgpod liboil libwnck rhythmbox totem xorg-x11-drv-ati yelp
sagarun    ArpON cowpatty emacs-irsim-mode lxc
sagitter   MUMPS coin-or-DyLP coin-or-Ipopt coin-or-Vol crossguid2 hdf libcutl maeparser mmtf-cpp nativejit openmeeg python-environs python-gevent python-html5lib qcad qwtplot3d superlu_dist xsd
sailer     ghdl libsqlite3x mingw-cairomm mingw-drmingw mingw-gtkmm24 mingw-jimtcl mingw-lcms mingw-lcms2 mingw-libconfuse mingw-libftdi mingw-libglade2 mingw-libglademm24 mingw-libsigc++20 mingw-libsqlite3x mingw-libxml++ mingw-mpfr mingw-plotmm mingw-sparsehash mingw-tcl mingw-wpcap mingw-zfstream octave-general octave-interval octave-optim octave-specfun
salimma    asahi-scripts bpython bsdiff btrfs-fuse build-constraints-rpm-macros colorized-logs compat-lua cpdup cpputest disciplining-minipod dispenso dnf-plugin-cow fennel folly-rpm-macros geary gnome-js-common gnome-keyring-sharp gtksourceview4 iptstate jc libappindicator liblo liboauth libtermkey libvterm lua-alt-getopt lua-bit32 lua-compat53 lua-filesystem lua-inotify lua-json lua-loop lua-lpeg lua-lunitx lua-moonscript lua-mpack lua-posix lua-readline lua-sql luarocks mcrouter mock-centos-sig-configs musl nickle oflb-smonohand-fonts p7zip portaudio powerline psi-notify python-TestSlide python-blessings python-click-log python-click-threading python-cmarkgfm python-curtsies python-django-allauth python-django-cache-url python-django-compressor python-django-database-url python-django-gravatar2 python-django-picklefield python-django-q python-django-redis python-django-search-url python-dkimpy python-fixit python-howdoi python-html5lib python-jsmin python-keep python-linecache2 python-lupa python-matplotlib-inline python-moreorless python-nltk python-patatt python-pickleshare python-publicsuffix2 python-pure-eval python-pytest-django python-pytest-localserver python-pytest-runner python-pytest-services python-represent python-requests-download python-sphinx-hoverxref python-sphinx-kr-theme python-sphinx_selective_exclude python-usort python-volatile python-xmlsec switchtec trousers tsl-sparse-map ubloxcfg waf xbacklight
saluki     golang-github-bruth-assert
sandeen    kernel libmodbus
sbluhm     mxparser perl-Mail-RFC822-Address xmlpull xstream
scottt     Mars
sdgathman  cjdns dom4j dump1090 marked mp3fs roca-detect thttpd
seanyoung  lirc
sergesanspaille clang13 lld13 llvm11 llvm12 llvm13 xtensor xtensor-python
sergiopr   blt python-pdfrw python-pywt python-sphinx-argparse python-statsmodels xpa
sfaulken   lxqt-about lxqt-openssh-askpass
sgallagh   argbash libgit2 nodejs-packaging python-ModulemdTranslationHelpers python-click-man python-django-pipeline python-flake8 python-memcached python-tqdm python-whoosh
sham1      libdockapp xss-lock
sharkcz    bullet cc65 ddpt devio dmtx-utils firefox libftdi ogdi python-simpleeval pywebdav sigil squirrel uboot-tools unittest-cpp
shlomif    black-hole-solver fortune-mod freecell-solver perl-Dir-Manifest perl-Games-Solitaire-Verify perl-Math-Random-MT perl-Test-Data-Split perl-Test-RunValgrind python-freecell_solver python-pysol-cards rinutils
sic        nexus python-sphinx-bootstrap-theme
sicherha   powerline
siddhesh   gst123 luajit
siosm      akmods ebook-tools fedora-appstream-metadata
siwinski   ckeditor php-Monolog php-PHPParser php-cache-integration-tests php-cache-tag-interop php-doctrine-collections php-doctrine-inflector php-doctrine-lexer php-fedora-autoloader php-guzzlehttp-promises php-masterminds-html5 php-mnapoli-phpunit-easymock php-mtdowling-jmespath-php php-ocramius-code-generator-utils php-psr-cache php-psr-http-message php-psr-link php-psr-simple-cache php-twig php-webimpress-safe-writer php-webmozart-assert
skitt      gitlint
slaanesh   AMF YafaRay akmods asdcplib bitcoin-core daala dpkg egl-gbm kmodtool libcaca libibcommon libiec61883 libsecp256k1 libupnp lpf lv2 meanwhile miniupnpc python-pdfrw python-urlgrabber qperf stoken xorg-x11-drv-amdgpu
slankes    detox docbook2X sj-fonts xdotool
slp        libkrunfw
smallorange libusb-compat-0.1 libusb1
smani      GeographicLib apitrace commoncpp2 jxrlib leptonica libbatch libgeotiff liblbfgs mapserver mingw-SDL_image mingw-angleproject mingw-atk mingw-expat mingw-fcgi mingw-fontconfig mingw-glew mingw-goocanvas2 mingw-graphite2 mingw-gtksourceview3 mingw-harfbuzz mingw-jansson mingw-libepoxy mingw-libgta mingw-libimagequant mingw-libvorbis mingw-libxslt mingw-llvm mingw-python-affine mingw-python-chardet mingw-python-charset-normalizer mingw-python-ephem mingw-python-pyparsing mingw-python-pyproj mingw-python-pytz mingw-python-pyyaml mingw-python-setuptools mingw-python-six mingw-python-tomli mingw-python-urllib3 mingw-qextserialport mingw-qt5-qtscript mingw-spatialindex mingw-spirv-headers mingw-tk mingw-twaindsm mingw-yaml-cpp python-ephem python-flask-compress python-flask-gravatar python-flask-login python-flask-paranoid python-flask-principal python-flask-security-too python-httpagentparser python-lunr python-mergedeep python-mongoengine python-mongomock python-pillow python-pyyaml-env-tag python-sane python-user-agents qbs qhexedit2 qt4-style-fusion scotch svg2svgt virtualpg xfoil xrotor
snirkel    rhythmbox
somlo      icestorm iodine nextpnr python-logzero python-migen trellis wmx yosys
souryogurt cgreen
spetros    ansible-collection-microsoft-sql linux-system-roles
spike      apache-commons-math jtidy
spot       QuantLib R-rpm-macros allgeyer-fonts avoision c-ares efl egd elementary enlightenment fbg2 ftplib gbdfed giver gxemul irrlicht libaesgm libcgi libgdamm libmcrypt libsexy libvidcap libxdiff luabind lzma-sdk457 memchan mono-cecil-flowanalysis mono-reflection opendyslexic-fonts perl-Cairo perl-Geography-Countries perl-Gtk2 perl-Image-Base perl-Image-Size perl-Locale-Maketext-Fuzzy perl-Pango physfs plee-the-bear pyke python-cerealizer python-cson python-oauth2 python-speg radius-engine silkscreen-fonts taglib-sharp tcl-tcludp tcl-tclvfs tcl-tileqt tcl-tkpng tcl-tktreectrl terminology texlive texlive-base tlomt-sniglet-fonts udunits2 woodardworks-laconic-fonts xblas xkeycaps xloadimage xmbdfed xorg-x11-drv-ati
spstarr    rubygem-idn xmlrpc-epi
stefanb    farstream02
stefanha   git-publish
steve      altermime neomutt
steved     kernel libibcommon nfs-utils rpcsvc-proto rusers
stevenfalco nng
stevetraylen bitmap glog h5py kstart leveldb liblzf log4c log4cpp python-beautifulsoup4 python-collectd_systemd python-django-tastypie python-humanize python-pyModbusTCP rubygem-ansi rubygem-curb rubygem-rchardet rubygem-systemu uberftp xcalc xfig
stingray   flow-tools
stransky   firefox yelp
suanand    php-gettext-gettext python-tinydb
sumantrom  python-pytest-httpx python-pytest-xprocess
supakeen   python-pdir2 python-pygments-better-html
suraia     adobe-source-serif-pro-fonts ibm-plex-fonts python-precis_i18n zsh-autosuggestions zsh-syntax-highlighting
survient   freight
suve       dumb-init gearhead1 gravity-beams-and-evaporating-stars jc lazarus php-phpseclib prettyping python-whois rmlint spectrographic twa
swt2c      python-blinker python-raven
szpak      lpairs pylibacl pyxattr
tachoknight libsqlite3x
tadej      pew python-virtualenv-clone
tagoh      ipa-gothic-fonts ipa-mincho-fonts ipa-pgothic-fonts ipa-pmincho-fonts
tartina    clthreads clxclient dssi guitarix jack-audio-connection-kit jack-keyboard jalv liblo lilv lv2 python-sphinx_lv2_theme serd sndfile-tools sord sratom suil
tchaikov   leveldb python3-saml
tdawson    arpack discount docbook5-style-xsl game-music-emu glew kdsoap kuserfeedback libcerf libgta libpgf openal-soft plasma-applet-translator python-lockfile python-openid-cla python-versioneer python-wtforms rubygem-idn rubygem-launchy rubygem-open4 sassc sj-fonts stoken xsd xsettingsd
tdecacqu   python-sphinx-autodoc-typehints
terjeros   bpython e16 e16-docs e16-epplets e16-keyedit e16-themes editres esound eterm ganglia grace grin h5py jericho-html libast libuninum mathomatic mycli orangefs php-pear-Net-IDNA2 pssh python-acoustid python-audioread python-beautifulsoup4 python-cli-helpers python-construct python-curtsies python-cwcwidth python-exif python-hglib python-httpsig-cffi python-terminaltables python-tidy python-unipath sqliteman t1lib
teuf       libcacard libgpod libmusicbrainz5 mingw-libepoxy mingw-libgcrypt mingw-libgpg-error mingw-openssl mingw-spice-gtk mingw-spice-protocol mingw-usbredir phodav rest0.7 spice totem xorg-x11-drv-qxl
tflink     python-flask-sqlalchemy python-wtforms
than       ark automoc gwenview kactivities kapman katomic kblackbox kblocks kbounce kbrickbuster kcolorchooser kde-baseapps kde-i18n kde-l10n kde-runtime kdegames3 kdepimlibs kdialog kdiamond keditbookmarks kf5-baloo kf5-kdelibs4support kf5-kdesignerplugin kf5-kdewebkit kf5-khtml kf5-kjs kf5-libkcddb kfind kfourinline kget kgoldrunner kigo killbots kiriki kjumpingcube klickety klines kmahjongg knavalbattle knetwalk knotes kolf kollision kolourpaint konqueror konquest kontact kpat krdc kreversi kshisen ksirk ksnakeduel kspaceduel ksquares ksudoku kubrick kwebkitpart laughlin-kde-theme leonidas-kde-theme libkcddb libkdegames lovelock-kde-theme lskat migrationtools okteta oxygen-fonts palapeli phonon phonon-backend-gstreamer picmi plasma-workspace qimageblitz qt qt-assistant-adp qt5-qtaccountsservice qt5-qtconfiguration qtchooser sip smokegen solar-kde-theme soprano sparsehash sweeper texlive texlive-base verne-kde-theme
